No.,Time,Source,Destination,Protocol,Length,Ping,seq,ttl
1240,1233.663518,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,107/27392,128 (request in 1239)
1242,1234.666287,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,108/27648,126 (reply in 1243)
1243,1234.666348,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,108/27648,128 (request in 1242)
1244,1235.680686,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,109/27904,126 (reply in 1245)
1245,1235.680740,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,109/27904,128 (request in 1244)
1247,1236.690351,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,110/28160,126 (reply in 1248)
1248,1236.690411,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,110/28160,128 (request in 1247)
1249,1237.694073,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,111/28416,126 (reply in 1250)
1250,1237.694125,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,111/28416,128 (request in 1249)
1252,1238.711559,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,112/28672,126 (reply in 1253)
1253,1238.711621,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,112/28672,128 (request in 1252)
1254,1239.718495,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,113/28928,126 (reply in 1255)
1255,1239.718556,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,113/28928,128 (request in 1254)
1257,1240.729171,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,114/29184,126 (reply in 1258)
1258,1240.729235,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,114/29184,128 (request in 1257)
1259,1241.734498,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,115/29440,126 (reply in 1260)
1260,1241.734558,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,115/29440,128 (request in 1259)
1262,1242.737439,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,116/29696,126 (reply in 1263)
1263,1242.737498,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,116/29696,128 (request in 1262)
1265,1243.750148,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,117/29952,126 (reply in 1266)
1266,1243.750203,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,117/29952,128 (request in 1265)
1268,1244.755828,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,118/30208,126 (reply in 1269)
1269,1244.755887,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,118/30208,128 (request in 1268)
1272,1245.767771,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,119/30464,126 (reply in 1273)
1273,1245.767825,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,119/30464,128 (request in 1272)
1275,1246.779572,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,120/30720,126 (reply in 1276)
1276,1246.779640,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,120/30720,128 (request in 1275)
1277,1247.791858,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,121/30976,126 (reply in 1278)
1278,1247.791910,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,121/30976,128 (request in 1277)
1280,1248.807761,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,122/31232,126 (reply in 1281)
1281,1248.807822,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,122/31232,128 (request in 1280)
1282,1249.345640,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,207/52992,128 (reply in 1283)
1283,1249.348711,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,207/52992,126 (request in 1282)
1284,1249.825159,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,123/31488,126 (reply in 1285)
1285,1249.825220,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,123/31488,128 (request in 1284)
1287,1250.355747,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,208/53248,128 (reply in 1288)
1288,1250.358813,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,208/53248,126 (request in 1287)
1289,1250.841036,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,124/31744,126 (reply in 1290)
